Category,Item,Unit,Unit_Price_Low,Unit_Price_High,Supplier,Notes,Last_Updated
PIPE_JACKS,Pipe Jack 4-inch+,each,15.00,28.00,QXO/Beacon,Large stack applications,2025-11-01
PIPE_JACKS,Split Boot (Retrofit),each,8.00,18.00,QXO/Beacon,Rubber retrofit boot,2025-11-01
PIPE_JACKS,Universal Pipe Boot,each,12.00,25.00,QXO/Beacon,Adjustable multi-size,2025-11-01
SEALANTS,Roofing Cement (Plastic),per_gallon,15.00,30.00,QXO/Beacon,Black asphalt-based,2025-11-01
SEALANTS,Roofing Cement (Fiber),per_gallon,18.00,35.00,QXO/Beacon,Reinforced with fibers,2025-11-01
SEALANTS,Roof Caulk Tubes,per_tube,4.00,8.00,QXO/Beacon,Polyurethane or silicone,2025-11-01
SEALANTS,Lap Sealant,per_tube,5.00,10.00,QXO/Beacon,Metal seam sealing,2025-11-01
RIDGE_CAP,Hip & Ridge Shingles,linear_foot,3.00,6.00,QXO/Beacon,Pre-formed ridge cap,2025-11-01
RIDGE_CAP,Starter Strip Shingles,linear_foot,1.50,3.00,QXO/Beacon,Eave and rake starter,2025-11-01
ACCESSORIES,Roof Deck Protection,per_square,25.00,50.00,QXO/Beacon,Breathable membrane upgrade,2025-11-01
ACCESSORIES,Snow Guards,each,8.00,25.00,QXO/Beacon,Metal or plastic,2025-11-01
ACCESSORIES,Gutter Apron,linear_foot,1.00,2.50,QXO/Beacon,Directs water into gutter,2025-11-01
ACCESSORIES,Chimney Cricket,each,150.00,400.00,QXO/Beacon,Custom fabricated saddle,2025-11-01
DISPOSAL,Dumpster 20-yard,per_rental,350.00,600.00,Local,Typical residential tear-off,2025-11-01
DISPOSAL,Dumpster 30-yard,per_rental,450.00,750.00,Local,Large projects,2025-11-01
DISPOSAL,Debris Haul-away,per_square,20.00,40.00,Local,Alternative to dumpster,2025-11-01
DECKING,Plywood 1/2-inch CDX,per_sheet,35.00,55.00,QXO/Beacon,4x8 sheet structural,2025-11-01
DECKING,OSB 7/16-inch,per_sheet,25.00,40.00,QXO/Beacon,Economy sheathing,2025-11-01
DECKING,Plywood 5/8-inch CDX,per_sheet,45.00,70.00,QXO/Beacon,Heavy-duty applications,2025-11-01
LUMBER,2x4 Lumber (8ft),each,6.00,12.00,Local,General framing repairs,2025-11-01
LUMBER,2x6 Lumber (8ft),each,10.00,18.00,Local,Structural repairs,2025-11-01
